Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
"cleanser for oily skin",70,2,2,,74000,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin-type-collection/best-face-wash-for-oily-skin-online-sale/c/6191,10630,0.22,318.9
"best perfume for women",62,2,3,Image,74000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,10220,0.21,204.42
"best perfumes for women",68,2,1,,74000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,10220,0.21,204.42
"hair masks",68,2,2,Reviews,60500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/hair-care/hair/hair-creams-masks/c/2041,10061,0.21,201.23
kajal,84,5,9,,450000,I,"Reviews, Video, Knowledge graph, Related searches, Image",0.01,0.02,https://www.nykaa.com/makeup/eyes/kajal/c/687,9706,0.2,194.12
"lobster tube",73,4,,Reviews,368000,"I, N","Reviews, Sitelinks, People also ask",0,0,https://www.nykaa.com/peora-316l-stainless-steel-tube-link-bracelet-with-lobster-clasp-for-men-and-boys/p/523558,9536,0.2,0
phy,79,4,6,,246000,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Related searches",0.01,0.03,https://www.nykaa.com/brands/phy/c/9789,9463,0.19,283.89
"loreal shampoo",71,4,6,,201000,C,"Reviews, Video, Shopping results, Related searches, Image",1,0.27,https://www.nykaa.com/brands/l-oreal-professionnel/c/1251,9382,0.19,2533.18
skincare,66,1,7,Image,60500,C,"People also ask, Images, Shopping results, Related searches, Image",0.84,0.17,https://www.nykaa.com/skin/c/8377,9379,0.19,1594.45
"best sunscreen",83,3,3,,110000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/sun-care/c/8428,9245,0.19,184.91
"moisturizer for dry skin",62,1,2,,60500,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,8950,0.18,268.51
"bb cream",61,1,1,Reviews,60500,C,"Reviews, People also ask, Shopping results, See results about, Related searches, Image",0.98,0.02,https://www.nykaa.com/makeup/face/bb-cc-cream/c/232,8901,0.18,178.02
"bella vita",90,5,5,Image,301000,C,"Reviews, Video, People also ask, Images, Top Ads, Shopping results, See results about, Related searches, Image",1,0.08,https://www.nykaa.com/brands/bella-vita-organic/c/7469,8880,0.18,710.42
"dry skin moisturizer",77,1,6,,60500,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,8770,0.18,263.11
"compact powder",61,1,2,,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Copyright infringement, Related searches, Image",0.98,0.01,https://www.nykaa.com/makeup/face/compact/c/231,8702,0.18,87.03
"victoria secret",78,3,7,,201000,C,"Reviews, Video, People also ask, Shopping results, See results about, Related searches, Image",0.97,0.05,https://www.nykaa.com/brands/victoria-s-secret/c/704,8657,0.18,432.85
concealer,58,1,1,,110000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.97,0.05,https://www.nykaa.com/makeup/face/face-concealer/c/234,8621,0.18,431.07
"derma co",83,3,4,"Reviews, Image",246000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, See results about, Related searches, Image",1,0.19,https://www.nykaa.com/brands/the-derma-co/c/16118,8453,0.17,1606.25
mascara,70,1,1,Reviews,49500,C,"Reviews, Video, People also ask, Shopping results, Videos Block, Related searches, Image",0.95,0.05,https://www.nykaa.com/makeup/eyes/eye-mascara/c/241,8232,0.17,411.61
cleansers,55,1,1,Image,49500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,8232,0.17,164.64
"facial wash",51,3,13,,165000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches",1,0.03,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,8056,0.16,241.71
aqualogica,79,2,5,Image,201000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",1,0.14,https://www.nykaa.com/brands/aqualogica/c/21493,7891,0.16,1104.82
"dr sheth",83,3,2,Image,201000,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",1,0.19,https://www.nykaa.com/brands/dr-sheth-s/c/6123,7876,0.16,1496.5
mcaffeine,78,2,2,"Reviews, Image",165000,C,"Reviews, Sitelinks, Video, People also ask, Knowledge graph, Top Ads, Shopping results, Related searches, Image",0.94,0.12,https://www.nykaa.com/brands/mcaffeine/c/4638,7868,0.16,944.19
"dr sheth's",79,3,2,,201000,C,"Reviews, Sitelinks, Video, People also ask, Knowledge graph, Shopping results, Related searches",1,0.19,https://www.nykaa.com/brands/dr-sheth-s/c/6123,7695,0.16,1462.06
"eyeshadow palette",59,2,1,,74000,C,"Reviews, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/eyes/eyeshadow/c/242,7505,0.15,150.1
"nykaa luxe",77,1,1,Sitelinks,18100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Related searches, Image",0.35,0.11,https://www.nykaa.com/luxe/c/194,7471,0.15,821.83
"face wash",61,2,3,,165000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/cleansers/face-wash/c/8379,7418,0.15,222.57
faces,74,2,2,,135000,"L, N","Local pack, Reviews, Sitelinks, Video, Images, Related searches, Image",0.01,0.02,https://www.nykaa.com/brands/faces-canada/c/669,7336,0.15,146.73
"perfumes for women",55,2,6,,74000,C,"Reviews, Video, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,7278,0.15,145.57
"vaseline body lotion",72,3,8,,90500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/brands/vaseline/c/616,7102,0.15,142.05
"hair serum",57,2,4,,90500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.06,https://www.nykaa.com/hair-care/hair/hair-serum/c/320,7093,0.15,425.58
"snail mucin",59,2,2,"Reviews, Image",90500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.04,https://www.nykaa.com/cosrx-advanced-snail-96-mucin-power-essence/p/757628,7093,0.15,283.72
serum,53,1,1,Image,90500,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.95,0.14,https://www.nykaa.com/skin/moisturizers/serums-essence/c/8397,7090,0.15,992.68
"matka gold",42,26,16,,2240000,I,"Reviews, Video, Images, See results about, Related searches",0,0.01,https://www.nykaa.com/a-clutch-story-antique-gold-matka-potli/p/7618605,6890,0.14,68.9
elf,91,2,4,"Reviews, Image",49500,I,"Reviews, Video, See results about, Related searches, Image",0.16,0.18,https://www.nykaa.com/brands/e-l-f-cosmetics/c/16065,6863,0.14,1235.41
"moisturizer cream",65,1,1,Reviews,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.97,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,6735,0.14,134.71
"best perfume for ladies",59,2,2,,74000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,6596,0.14,131.93
"eye palette",55,2,1,,74000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/eyes/eyeshadow/c/242,6427,0.13,128.55
bellies,70,2,6,Image,40500,"L, C","Reviews, Video, GMB, Related searches, Image",0.13,0.02,https://www.nykaa.com/footwear/bellies/c/11918,6325,0.13,126.51
"mama earth",77,2,3,Image,135000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, X (ex-Twitter), Related searches, Image",0.94,0.26,https://www.nykaa.com/brands/mamaearth/c/4320,6316,0.13,1642.33
"skincare products",63,1,1,,33100,C,"Video, People also ask, Bottom Ads, Shopping results, Related searches, Image",0.98,0.16,https://www.nykaa.com/skin/c/8377,6228,0.13,996.48
lipstick,64,4,8,,201000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/makeup/lips/lipstick/c/249,6218,0.13,124.36
"sun cream spf 50",59,2,14,,60500,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/sun-care/face-sunscreen/c/8429,6171,0.13,123.43
"facial mask",68,2,34,Reviews,110000,C,"Reviews, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.95,0.02,https://www.nykaa.com/skin/masks/c/8399,6098,0.12,121.98
"lip balm",57,3,2,,135000,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/lip-care/lip-balm/c/8409,6092,0.12,121.84
"sunscreen spf 50",62,2,4,,60500,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/sun-care/face-sunscreen/c/8429,6082,0.12,121.66
"cosmetic products",67,1,1,Image,18100,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.34,0.1,https://www.nykaa.com/,6019,0.12,601.93
cleanser,61,1,1,,49500,C,"Reviews, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,6000,0.12,120.01
"blackhead removal",87,2,4,,49500,I,"People also ask, Related searches",0.99,0.02,https://www.nykaa.com/skin/skin-tools/blackhead-remover/c/25761,5989,0.12,119.79
"sunscreen for dry skin",74,2,2,,40500,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/best-sunscreens-online-sale/best-sunscreens-for-dry-skin-online-sale/c/9680,5965,0.12,119.31
pilgrim,90,3,3,,246000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, See results about, Related searches",0.98,0.15,https://www.nykaa.com/brands/pilgrim/c/13227,5921,0.12,888.18
"garnier vitamin c serum",62,3,4,"Reviews, Image",135000,C,"Reviews, Video, People also ask, Knowledge graph, Top Ads, Bottom Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/garnier-bright-complete-vitamin-c-face-serum-30ml/p/5802627,5861,0.12,117.23
pond's,78,2,7,,110000,C,"Reviews, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",0.34,0.2,https://www.nykaa.com/brands/ponds/c/614,5854,0.12,1170.9
"best face wash",66,1,1,Reviews,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.05,https://www.nykaa.com/skin/cleansers/face-wash/c/8379,5822,0.12,291.15
eyeliner,61,1,1,,74000,C,"Reviews, People also ask, Images, Shopping results, Videos Block, Related searches, Image",0.96,0.04,https://www.nykaa.com/makeup/eyes/eyeliner/c/240,5797,0.12,231.91
"good cleanser for oily skin",71,2,1,Image,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin-type-collection/best-face-wash-for-oily-skin-online-sale/c/6191,5716,0.12,171.5
"cetaphil face wash",67,5,5,"Reviews, Image",246000,C,"Reviews, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032,5693,0.12,113.88
blush,67,1,1,Reviews,74000,I,"Reviews, Knowledge graph, Related searches, Image",0.81,0.03,https://www.nykaa.com/makeup/face/face-blush/c/235,5659,0.12,169.79
"body scrub",65,2,1,,49500,C,"Reviews, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/bath-body/bath-and-shower/body-scrubs-exfoliants/c/369,5608,0.11,112.18
"waxing strips",75,1,3,,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches",0.99,0.01,https://www.nykaa.com/bath-body/female-grooming/wax-wax-strips/c/25323,5593,0.11,55.94
"serum on face",67,1,2,,60500,C,"Reviews, Video, People also ask, Images, Shopping results, Image",1,0.04,https://www.nykaa.com/skin/moisturizers/serums-essence/c/8397,5375,0.11,215.01
clovia,88,3,3,,165000,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Top Ads, Shopping results, X (ex-Twitter), Related searches",0.97,0.07,https://www.nykaa.com/lingerie-online/brands/clovia/c/3152,5295,0.11,370.67
"best cleanser for face",79,2,1,,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.05,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,5287,0.11,264.35
foxtale,81,3,3,Image,135000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, See results about, Related searches, Image",0.97,0.13,https://www.nykaa.com/brands/foxtale/c/27361,5180,0.11,673.51
"tresemme shampoo",72,3,7,,110000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/brands/tresemme/c/607,5116,0.1,153.5
"face mask",64,2,2,,110000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.95,0.02,https://www.nykaa.com/skin/masks/c/8399,5116,0.1,102.33
"kajol nude",88,1,13,,18100,"I, N","Reviews, Copyright infringement",0,0,https://www.nykaa.com/dp/nude-kajal,5102,0.1,0
"swiss beauty",77,3,2,Image,110000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, See results about, Related searches, Image",0.98,0.1,https://www.nykaa.com/brands/swiss-beauty/c/8335,5022,0.1,502.3
"sunny leone",100,23,27,,1500000,"I, N","Reviews, Video, Top stories, People also ask, Knowledge graph, Copyright infringement",0,0.01,https://www.nykaa.com/brands/star-struck/c/6642,5002,0.1,50.03
"mask for hair",67,2,3,,60500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/hair-care/hair/hair-creams-masks/c/2041,4954,0.1,99.08
"exfoliator for face",66,1,1,,33100,C,"Reviews, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/skin/cleansers/scrubs-exfoliators/c/8381,4949,0.1,99
biotique,83,2,3,Image,60500,"I, N","Reviews, Sitelinks, Video, People also ask, See results about, Related searches, Image",0.88,0.02,https://www.nykaa.com/brands/biotique/c/923,4925,0.1,98.5
"moisturizer for oily skin",67,3,3,,74000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/dp/fragrance-free-moisturizers-for-oily-skin,4914,0.1,98.29
"cosrx snail mucin",64,2,4,"Reviews, Image",40500,C,"Reviews, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",1,0.05,https://www.nykaa.com/cosrx-advanced-snail-96-mucin-power-essence/p/757628,4909,0.1,245.47
"cosmetics products",67,1,1,Image,18100,C,"Reviews, People also ask, Shopping results, Related searches, Image",0.37,0.08,https://www.nykaa.com/,4819,0.1,385.58
"smart watch smart",70,27,27,,1500000,C,"Reviews, Video, Images, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/smart-watches-activity-trackers/smart-watches/c/14039,4711,0.1,47.11
"cetaphil cleanser",68,6,5,"Reviews, Image",201000,C,"Reviews, Video, People also ask, Top Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032,4700,0.1,94.02
"hair styler",70,11,12,,1000000,C,"Reviews, Video, Images, Shopping results, Related searches, Image",0.01,0.11,https://www.nykaa.com/personal-care-appliances/hair-styling-tools/c/1385,4656,0.1,512.25
"curly hairstyle",86,3,3,,60500,I,"Reviews, Video, People also ask, Related searches, Image",0,0,https://www.nykaa.com/beauty-blog/inspo-on-curls-best-haircuts-for-curly-hair/,4583,0.09,0
"olay cream",70,2,2,,33100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/brands/olay/c/597,4571,0.09,91.44
"aqualogica sunscreen",64,6,5,Reviews,201000,C,"Reviews, Video, People also ask, Top Ads, Shopping results, Related searches",1,0.07,https://www.nykaa.com/aqualogica-glow-dewy-sunscreen-with-papaya-vitamin-c/p/10593377,4565,0.09,319.58
bellavita,86,3,5,Image,74000,"I, N","Reviews, Sitelinks, Video, People also ask, Top Ads, Bottom Ads, See results about, Related searches, Image",1,0.08,https://www.nykaa.com/brands/bella-vita-organic/c/7469,4490,0.09,359.26
"bath and body works",86,5,4,,165000,C,"Reviews, Video, People also ask, Top Ads, Shopping results, See results about, Related searches, Image",0.97,0.04,https://www.nykaa.com/brands/bath-and-body-works/c/705,4378,0.09,175.14
"sun tan removal",63,1,3,,33100,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches",0.95,0.02,https://www.nykaa.com/beauty-blog/how-to-remove-tan-using-simple-home-remedies/,4280,0.09,85.61
traya,92,5,7,,165000,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Knowledge graph, Top Ads, Shopping results, Related searches",0.82,0.08,https://www.nykaa.com/brands/traya/c/33090,4265,0.09,341.27
arias,76,2,2,,60500,"L, N","Reviews, Sitelinks, People also ask, Images, GMB, Videos Block, Related searches",0.01,0.12,https://www.nykaa.com/brands/arias/c/10458,4262,0.09,511.52
"tanning removal",73,1,,"Featured snippets",33100,"L, C","Featured snippets, Local pack, Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches",0.95,0.02,https://www.nykaa.com/beauty-blog/how-to-remove-tan-using-simple-home-remedies/,4253,0.09,85.08
"nykaa store near me",71,1,1,"Local pack",27100,"L, C","Local pack, Reviews, Video, Related searches",0.12,0.18,http://nykaa.com/,4177,0.09,752
"lip gloss",56,2,2,,90500,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/makeup/lips/lip-gloss/c/250,4084,0.08,81.68
wow,78,4,8,,135000,I,"Reviews, Video, Knowledge graph, Related searches",0.1,0.35,https://www.nykaa.com/brands/wow/c/2454,4082,0.08,1429.03
"spf 50 sunscreen",61,2,4,,27100,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/sun-care/face-sunscreen/c/8429,4052,0.08,81.05
"dior sauvage",75,3,4,"Reviews, Image",60500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/dior-sauvage-eau-de-parfum/p/950918,4018,0.08,40.18
"night cream",64,2,2,Reviews,27100,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/night-cream/c/8395,3991,0.08,79.83
"makeup product",68,1,2,Image,33100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.91,0.03,https://www.nykaa.com/,3988,0.08,119.65
"best lip balm",74,2,1,Image,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/skin/lip-care/lip-balm/c/8409,3896,0.08,77.93
scrub,67,2,1,,90500,C,"Featured snippets, Reviews, Video, People also ask, Images, Knowledge graph, Shopping results, Related searches, Image",0.92,0.41,https://www.nykaa.com/skin/cleansers/scrubs-exfoliators/c/8381,3891,0.08,1595.32
"blackhead remover",64,1,4,,49500,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/skin/skin-tools/blackhead-remover/c/25761,3878,0.08,77.57
"hair styling",61,14,,,1000000,"L, C","Local pack, Reviews, Video, People also ask, Images, Related searches, Image",0.01,0.11,https://www.nykaa.com/hair-care/tools-and-accessories/c/219,3853,0.08,423.92
"bella vita perfume",77,6,9,,246000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/brands/bella-vita-organic/c/7469,3831,0.08,114.93
purna,74,2,2,,27100,"L, C","Reviews, Video, Images, GMB, Related searches, Image",0.03,0.01,https://www.nykaa.com/brands/purna/c/11932,3830,0.08,38.3
bblunt,85,2,3,Image,49500,"L, N","Reviews, Sitelinks, Video, People also ask, Images, Top Ads, GMB, Related searches, Image",1,0.1,https://www.nykaa.com/brands/bblunt/c/1801,3805,0.08,380.6
"ponds super light gel",70,3,3,"Reviews, Image",90500,C,"Reviews, Video, People also ask, Images, Knowledge graph, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/ponds-super-light-gel-moisturiser/p/502719,3742,0.08,74.84
lenses,65,7,9,Reviews,201000,I,"Reviews, People also ask, Videos Block, Related searches, Image",0.1,0.11,https://www.nykaa.com/makeup/eyes/contact-lenses/c/2440,3716,0.08,408.84
"best shampoo for hair",72,2,6,Image,33100,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Videos Block, Related searches, Image",1,0.02,https://www.nykaa.com/hair-care/hair/shampoo/c/316,3694,0.08,73.89
"face moisturizer",60,2,2,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,3692,0.08,73.84
"glutathione cream",68,2,1,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/dp/glutathione-cream,3692,0.08,73.84
"kay beauty",84,1,1,Image,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.91,0.06,https://www.nykaa.com/brands/kay-beauty/c/11433,3692,0.08,221.52
"nykaa beauty",91,1,1,Image,33100,C,"Reviews, Video, Images, Bottom Ads, Shopping results, Related searches, Image",0.96,0.07,https://www.nykaa.com/brands/nykaa-cosmetics/c/1937,3677,0.08,257.46
"serum for face",68,2,2,,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/moisturizers/serums-essence/c/8397,3602,0.07,108.07
plix,86,5,4,,135000,C,"Reviews, Sitelinks, Video, Knowledge graph, Top Ads, Shopping results, Related searches",0.97,0.09,https://www.nykaa.com/brands/plix/c/10359,3569,0.07,321.3
